T27,Water supply and sanitation services,,,,,
442,Luxembourg,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",98.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
442,Luxembourg,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
442,Luxembourg,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",94.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
442,Luxembourg,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",86.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
442,Luxembourg,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",93.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
442,Luxembourg,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",99.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
442,Luxembourg,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",96.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
442,Luxembourg,2022,"Safely managed drinking water sources, total (Proportion of population with access)",99.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
442,Luxembourg,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",96.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
442,Luxembourg,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",88.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
442,Luxembourg,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",95.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",28.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",6.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2010,"Safely managed drinking water sources, total (Proportion of population with access)",13.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",11.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",5.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",7.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",33.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",8.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2015,"Safely managed drinking water sources, total (Proportion of population with access)",17.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",13.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",7.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",9.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",41.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",9.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2022,"Safely managed drinking water sources, total (Proportion of population with access)",22.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",16.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",9.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
450,Madagascar,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",12.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",43.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",5.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2010,"Safely managed drinking water sources, total (Proportion of population with access)",11.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",26.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",20.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",20.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",47.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",7.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2015,"Safely managed drinking water sources, total (Proportion of population with access)",13.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",32.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",31.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",31.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",52.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",10.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2022,"Safely managed drinking water sources, total (Proportion of population with access)",17.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",41.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",47.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
454,Malawi,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",46.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
458,Malaysia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",93.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
458,Malaysia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",78.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
458,Malaysia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",93.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
458,Malaysia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",81.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
458,Malaysia,2022,"Safely managed drinking water sources, total (Proportion of population with access)",93.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
458,Malaysia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",86.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
466,Mali,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",6.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
466,Mali,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",11.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
466,Mali,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",9.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
466,Mali,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",6.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
466,Mali,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",15.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
466,Mali,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",12.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
466,Mali,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",7.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
466,Mali,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",22.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
466,Mali,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",15.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
470,Malta,2010,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
470,Malta,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",93.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
470,Malta,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
470,Malta,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",89.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
470,Malta,2022,"Safely managed drinking water sources, total (Proportion of population with access)",99.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
470,Malta,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",88.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
474,Martinique,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
474,Martinique,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
474,Martinique,2022,"Safely managed drinking water sources, total (Proportion of population with access)",98.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
175,Mayotte,2010,"Safely managed drinking water sources, total (Proportion of population with access)",79.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
175,Mayotte,2015,"Safely managed drinking water sources, total (Proportion of population with access)",90.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
175,Mayotte,2022,"Safely managed drinking water sources, total (Proportion of population with access)",92.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
484,Mexico,2010,"Safely managed drinking water sources, total (Proportion of population with access)",41.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
484,Mexico,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",35.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
484,Mexico,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",34.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
484,Mexico,2015,"Safely managed drinking water sources, total (Proportion of population with access)",42.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
484,Mexico,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",47.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
484,Mexico,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",45.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
484,Mexico,2022,"Safely managed drinking water sources, total (Proportion of population with access)",43.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
484,Mexico,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",65.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
484,Mexico,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",62.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2010,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2015,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2022,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
492,Monaco,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",40.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",5.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",28.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",62.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",35.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",53.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",44.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",7.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",33.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",66.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",44.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",59.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",51.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",12.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2022,"Safely managed drinking water sources, total (Proportion of population with access)",39.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",70.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",56.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
496,Mongolia,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",66.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",87.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
