T02,"Population, density and surface area",,,,,
504,Morocco,2010,Population density,72.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2015,Population mid-year estimates (millions),34.61,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2015,Population mid-year estimates for males (millions),17.46,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2015,Population mid-year estimates for females (millions),17.15,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2015,Sex ratio (males per 100 females),101.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
504,Morocco,2015,Population aged 0 to 14 years old (percentage),28.1,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
504,Morocco,2015,Population aged 60+ years old (percentage),9.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
504,Morocco,2015,Population density,77.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2022,Population mid-year estimates (millions),37.33,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2022,Population mid-year estimates for males (millions),18.84,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2022,Population mid-year estimates for females (millions),18.49,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2022,Sex ratio (males per 100 females),101.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
504,Morocco,2022,Population aged 0 to 14 years old (percentage),26.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
504,Morocco,2022,Population aged 60+ years old (percentage),11.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
504,Morocco,2022,Population density,83.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2022,Surface area (thousand km2),447,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
504,Morocco,2024,Population mid-year estimates (millions),38.08,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2024,Population mid-year estimates for males (millions),19.20,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2024,Population mid-year estimates for females (millions),18.88,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
504,Morocco,2024,Sex ratio (males per 100 females),101.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
504,Morocco,2024,Population aged 0 to 14 years old (percentage),25.6,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
504,Morocco,2024,Population aged 60+ years old (percentage),12.3,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
504,Morocco,2024,Population density,85.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2010,Population mid-year estimates (millions),23.00,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2010,Population mid-year estimates for males (millions),11.06,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2010,Population mid-year estimates for females (millions),11.94,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2010,Sex ratio (males per 100 females),92.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2010,Population aged 0 to 14 years old (percentage),45.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2010,Population aged 60+ years old (percentage),4.5,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2010,Population density,29.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2015,Population mid-year estimates (millions),26.55,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2015,Population mid-year estimates for males (millions),12.80,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2015,Population mid-year estimates for females (millions),13.75,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2015,Sex ratio (males per 100 females),93.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2015,Population aged 0 to 14 years old (percentage),45.7,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2015,Population aged 60+ years old (percentage),4.5,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2015,Population density,33.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2022,Population mid-year estimates (millions),32.66,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2022,Population mid-year estimates for males (millions),15.82,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2022,Population mid-year estimates for females (millions),16.83,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2022,Sex ratio (males per 100 females),94.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2022,Population aged 0 to 14 years old (percentage),45.0,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2022,Population aged 60+ years old (percentage),4.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2022,Population density,41.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2022,Surface area (thousand km2),799,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
508,Mozambique,2024,Population mid-year estimates (millions),34.63,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2024,Population mid-year estimates for males (millions),16.80,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2024,Population mid-year estimates for females (millions),17.83,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
508,Mozambique,2024,Sex ratio (males per 100 females),94.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2024,Population aged 0 to 14 years old (percentage),44.5,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2024,Population aged 60+ years old (percentage),4.1,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
508,Mozambique,2024,Population density,44.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2010,Population mid-year estimates (millions),49.02,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2010,Population mid-year estimates for males (millions),24.50,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2010,Population mid-year estimates for females (millions),24.53,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2010,Sex ratio (males per 100 females),99.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2010,Population aged 0 to 14 years old (percentage),28.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2010,Population aged 60+ years old (percentage),8.0,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2010,Population density,75.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2015,Population mid-year estimates (millions),51.09,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2015,Population mid-year estimates for males (millions),25.50,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2015,Population mid-year estimates for females (millions),25.59,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2015,Sex ratio (males per 100 females),99.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2015,Population aged 0 to 14 years old (percentage),26.5,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2015,Population aged 60+ years old (percentage),9.1,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2015,Population density,78.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2022,Population mid-year estimates (millions),53.76,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2022,Population mid-year estimates for males (millions),26.78,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2022,Population mid-year estimates for females (millions),26.98,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2022,Sex ratio (males per 100 females),99.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2022,Population aged 0 to 14 years old (percentage),24.7,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2022,Population aged 60+ years old (percentage),10.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2022,Population density,82.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2022,Surface area (thousand km2),677,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
104,Myanmar,2024,Population mid-year estimates (millions),54.50,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2024,Population mid-year estimates for males (millions),27.13,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2024,Population mid-year estimates for females (millions),27.37,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,Myanmar,2024,Sex ratio (males per 100 females),99.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2024,Population aged 0 to 14 years old (percentage),24.3,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2024,Population aged 60+ years old (percentage),11.4,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
104,Myanmar,2024,Population density,83.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2010,Population mid-year estimates (millions),2.11,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2010,Population mid-year estimates for males (millions),1.02,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2010,Population mid-year estimates for females (millions),1.09,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2010,Sex ratio (males per 100 females),93.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2010,Population aged 0 to 14 years old (percentage),36.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2010,Population aged 60+ years old (percentage),5.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2010,Population density,2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2015,Population mid-year estimates (millions),2.37,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2015,Population mid-year estimates for males (millions),1.15,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2015,Population mid-year estimates for females (millions),1.22,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2015,Sex ratio (males per 100 females),94.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2015,Population aged 0 to 14 years old (percentage),36.5,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2015,Population aged 60+ years old (percentage),5.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2015,Population density,2.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2022,Population mid-year estimates (millions),2.89,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2022,Population mid-year estimates for males (millions),1.41,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2022,Population mid-year estimates for females (millions),1.48,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2022,Sex ratio (males per 100 females),95.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2022,Population aged 0 to 14 years old (percentage),37.5,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2022,Population aged 60+ years old (percentage),5.7,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2022,Population density,3.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2022,Surface area (thousand km2),825,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
516,Namibia,2024,Population mid-year estimates (millions),3.03,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2024,Population mid-year estimates for males (millions),1.48,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2024,Population mid-year estimates for females (millions),1.55,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
516,Namibia,2024,Sex ratio (males per 100 females),95.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2024,Population aged 0 to 14 years old (percentage),37.0,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2024,Population aged 60+ years old (percentage),5.9,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
516,Namibia,2024,Population density,3.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2010,Population mid-year estimates (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2010,Population mid-year estimates for males (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2010,Population mid-year estimates for females (millions),0.00,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2010,Sex ratio (males per 100 females),104.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2010,Population aged 0 to 14 years old (percentage),36.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2010,Population aged 60+ years old (percentage),2.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2010,Population density,502.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2015,Population mid-year estimates (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2015,Population mid-year estimates for males (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2015,Population mid-year estimates for females (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2015,Sex ratio (males per 100 females),104.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2015,Population aged 0 to 14 years old (percentage),38.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2015,Population aged 60+ years old (percentage),3.5,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2015,Population density,547.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2022,Population mid-year estimates (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2022,Population mid-year estimates for males (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2022,Population mid-year estimates for females (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2022,Sex ratio (males per 100 females),103.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2022,Population aged 0 to 14 years old (percentage),38.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2022,Population aged 60+ years old (percentage),4.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2022,Population density,590.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2022,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
520,Nauru,2024,Population mid-year estimates (millions),0.01,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2024,Population mid-year estimates for males (millions),0.01,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2024,Population mid-year estimates for females (millions),0.01,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
520,Nauru,2024,Sex ratio (males per 100 females),103.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
