T03,Population growth and indicators of fertility and mortality,,,,,
414,Kuwait,2024,Population annual rate of increase (percent),2.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
414,Kuwait,2024,Total fertility rate (children per women),1.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
414,Kuwait,2024,"Under five mortality rate for both sexes (per 1,000 live births)",7.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
414,Kuwait,2024,Life expectancy at birth for both sexes (years),80.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
414,Kuwait,2024,Life expectancy at birth for males (years),79.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
414,Kuwait,2024,Life expectancy at birth for females (years),82.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2010,Population annual rate of increase (percent),1.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
417,Kyrgyzstan,2010,Total fertility rate (children per women),3.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2010,"Under five mortality rate for both sexes (per 1,000 live births)",29.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
417,Kyrgyzstan,2010,"Maternal mortality ratio (deaths per 100,000 population)",72,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
417,Kyrgyzstan,2010,Life expectancy at birth for both sexes (years),67.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2010,Life expectancy at birth for males (years),63.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2010,Life expectancy at birth for females (years),71.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2015,Population annual rate of increase (percent),1.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
417,Kyrgyzstan,2015,Total fertility rate (children per women),3.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2015,"Under five mortality rate for both sexes (per 1,000 live births)",22.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
417,Kyrgyzstan,2015,"Maternal mortality ratio (deaths per 100,000 population)",61,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
417,Kyrgyzstan,2015,Life expectancy at birth for both sexes (years),69.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2015,Life expectancy at birth for males (years),65.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2015,Life expectancy at birth for females (years),73.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2020,Population annual rate of increase (percent),2.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
417,Kyrgyzstan,2020,Total fertility rate (children per women),3.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2020,"Under five mortality rate for both sexes (per 1,000 live births)",18.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
417,Kyrgyzstan,2020,"Maternal mortality ratio (deaths per 100,000 population)",50,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
417,Kyrgyzstan,2020,Life expectancy at birth for both sexes (years),69.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2020,Life expectancy at birth for males (years),65.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2020,Life expectancy at birth for females (years),72.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2024,Population annual rate of increase (percent),1.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
417,Kyrgyzstan,2024,Total fertility rate (children per women),2.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2024,"Under five mortality rate for both sexes (per 1,000 live births)",14.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
417,Kyrgyzstan,2024,Life expectancy at birth for both sexes (years),71.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2024,Life expectancy at birth for males (years),68.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,Kyrgyzstan,2024,Life expectancy at birth for females (years),75.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2010,Population annual rate of increase (percent),1.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
418,Lao People's Dem. Rep.,2010,Total fertility rate (children per women),3.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2010,"Under five mortality rate for both sexes (per 1,000 live births)",67.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
418,Lao People's Dem. Rep.,2010,"Maternal mortality ratio (deaths per 100,000 population)",284,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
418,Lao People's Dem. Rep.,2010,Life expectancy at birth for both sexes (years),63.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2010,Life expectancy at birth for males (years),61.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2010,Life expectancy at birth for females (years),66.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2015,Population annual rate of increase (percent),1.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
418,Lao People's Dem. Rep.,2015,Total fertility rate (children per women),2.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2015,"Under five mortality rate for both sexes (per 1,000 live births)",53.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
418,Lao People's Dem. Rep.,2015,"Maternal mortality ratio (deaths per 100,000 population)",184,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
418,Lao People's Dem. Rep.,2015,Life expectancy at birth for both sexes (years),66.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2015,Life expectancy at birth for males (years),64.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2015,Life expectancy at birth for females (years),68.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2020,Population annual rate of increase (percent),1.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
418,Lao People's Dem. Rep.,2020,Total fertility rate (children per women),2.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2020,"Under five mortality rate for both sexes (per 1,000 live births)",43.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
418,Lao People's Dem. Rep.,2020,"Maternal mortality ratio (deaths per 100,000 population)",126,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
418,Lao People's Dem. Rep.,2020,Life expectancy at birth for both sexes (years),68.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2020,Life expectancy at birth for males (years),65.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2020,Life expectancy at birth for females (years),71.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2024,Population annual rate of increase (percent),1.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
418,Lao People's Dem. Rep.,2024,Total fertility rate (children per women),2.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2024,"Under five mortality rate for both sexes (per 1,000 live births)",37.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
418,Lao People's Dem. Rep.,2024,Life expectancy at birth for both sexes (years),69.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2024,Life expectancy at birth for males (years),67.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,Lao People's Dem. Rep.,2024,Life expectancy at birth for females (years),71.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2010,Population annual rate of increase (percent),-2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
428,Latvia,2010,Total fertility rate (children per women),1.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2010,"Under five mortality rate for both sexes (per 1,000 live births)",6.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
428,Latvia,2010,"Maternal mortality ratio (deaths per 100,000 population)",25,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
428,Latvia,2010,Life expectancy at birth for both sexes (years),73.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2010,Life expectancy at birth for males (years),67.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2010,Life expectancy at birth for females (years),77.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2015,Population annual rate of increase (percent),-0.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
428,Latvia,2015,Total fertility rate (children per women),1.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2015,"Under five mortality rate for both sexes (per 1,000 live births)",4.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
428,Latvia,2015,"Maternal mortality ratio (deaths per 100,000 population)",22,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
428,Latvia,2015,Life expectancy at birth for both sexes (years),74.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2015,Life expectancy at birth for males (years),69.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2015,Life expectancy at birth for females (years),79.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2020,Population annual rate of increase (percent),-0.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
428,Latvia,2020,Total fertility rate (children per women),1.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2020,"Under five mortality rate for both sexes (per 1,000 live births)",4.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
428,Latvia,2020,"Maternal mortality ratio (deaths per 100,000 population)",18,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
428,Latvia,2020,Life expectancy at birth for both sexes (years),75.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2020,Life expectancy at birth for males (years),70.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2020,Life expectancy at birth for females (years),80.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2024,Population annual rate of increase (percent),-0.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
428,Latvia,2024,Total fertility rate (children per women),1.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2024,"Under five mortality rate for both sexes (per 1,000 live births)",3.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
428,Latvia,2024,Life expectancy at birth for both sexes (years),76.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2024,Life expectancy at birth for males (years),71.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
428,Latvia,2024,Life expectancy at birth for females (years),80.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2010,Population annual rate of increase (percent),0.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
422,Lebanon,2010,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2010,"Under five mortality rate for both sexes (per 1,000 live births)",12.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
422,Lebanon,2010,"Maternal mortality ratio (deaths per 100,000 population)",18,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
422,Lebanon,2010,Life expectancy at birth for both sexes (years),77.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2010,Life expectancy at birth for males (years),75.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2010,Life expectancy at birth for females (years),79.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2015,Population annual rate of increase (percent),-2.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
422,Lebanon,2015,Total fertility rate (children per women),2.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2015,"Under five mortality rate for both sexes (per 1,000 live births)",13.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
422,Lebanon,2015,"Maternal mortality ratio (deaths per 100,000 population)",19,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
422,Lebanon,2015,Life expectancy at birth for both sexes (years),78.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2015,Life expectancy at birth for males (years),76.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2015,Life expectancy at birth for females (years),80.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2020,Population annual rate of increase (percent),0.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
422,Lebanon,2020,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2020,"Under five mortality rate for both sexes (per 1,000 live births)",20.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
422,Lebanon,2020,"Maternal mortality ratio (deaths per 100,000 population)",21,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
422,Lebanon,2020,Life expectancy at birth for both sexes (years),76.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2020,Life expectancy at birth for males (years),73.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2020,Life expectancy at birth for females (years),78.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2024,Population annual rate of increase (percent),0.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
422,Lebanon,2024,Total fertility rate (children per women),2.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2024,"Under five mortality rate for both sexes (per 1,000 live births)",18.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
422,Lebanon,2024,Life expectancy at birth for both sexes (years),77.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2024,Life expectancy at birth for males (years),75.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
422,Lebanon,2024,Life expectancy at birth for females (years),79.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2010,Population annual rate of increase (percent),0.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
